DATE,Iceland,C,CA,I,G,BCI ,UR,B10,WI
1997-01-01,132144,74164,-0.64,16920,26443,218,,5.77,148.8
1997-04-01,132863,76646,-1.09,17680,27506,219,,5.6,154.1
1997-07-01,134280,78285,-2.54,17548,28162,223.6,,5.3,157.9
1997-10-01,139312,80853,-2.66,18995,29477,225.9,,5.33,159.3
1998-01-01,138255,82821,-12.41,25183,30548,225.9,,5.03,167.9
1998-04-01,152628,85299,-3.65,25496,31131,230.4,,4.8,169.2
1998-07-01,152912,88121,-5.49,24541,32334,230.9,,4.67,170.4
1998-10-01,157105,90089,-5.47,26997,32605,230.9,,4.33,172.1
1999-01-01,161567,93122,-5.07,23681,33987,231.2,,4.13,180.4
1999-04-01,157424,94017,-7.45,24148,34863,235.4,,4.12,181.4
1999-07-01,159721,96990,-8.2,24124,35396,235.5,,4.28,182
1999-10-01,167342,99290,-5.85,24880,37146,236.7,,4.61,182.9
2000-01-01,169900,101412,-8.17,26345,37292,236.7,,4.78,186.9
2000-04-01,171583,105175,-9.42,27628,38574,239.4,,5.33,191.1
2000-07-01,179847,106807,-7.91,26656,40625,244.8,,5.57,196.4
2000-10-01,181976,108674,-13.85,27340,40970,244.7,,5.53,197.2
2001-01-01,179981,109208,-11.66,28147,42086,245.1,,5.52,204.2
2001-04-01,197155,109953,-4.26,27022,43856,253.7,,5.26,208.7
2001-07-01,200994,111304,-5.87,27278,45003,259.3,,5.14,212.4
2001-10-01,215498,112241,3.67,27476,46695,261.4,,5.11,215.2
2002-01-01,207094,112984,-0.42,22300,49191,265.7,,5.31,224.6
2002-04-01,211212,115024,1.2,22882,49921,275.8,,5.38,225.4
2002-07-01,209222,116409,3.12,22782,51007,277.6,,5.26,226.5
2002-10-01,215728,117495,1.99,22764,52680,277.4,,4.99,227.9
2003-01-01,220903,120509,0.01,25526,52530,278,3,4.73,237
2003-04-01,212666,121568,-4.41,26768,53276,284.8,2.3,4.43,238
2003-07-01,213929,124789,-5.77,27746,54134,286.4,2.3,4.19,239.3
2003-10-01,219627,127648,-8.3,27829,54971,287.3,2,4.27,240.4
2004-01-01,234578,131592,-6.79,31028,55903,287.8,2.1,4.05,244.9
2004-04-01,235278,133959,-8.36,36237,56799,292.2,2.4,3.87,247.5
2004-07-01,240819,138350,-7.04,36983,57965,300.8,2.1,3.74,251.4
2004-10-01,251183,143712,-15.29,38794,58296,302.3,1.6,3.63,253.2
2005-01-01,250379,147086,-13.11,42895,59614,304.7,1.9,3.52,261.1
2005-04-01,259133,153457,-8.69,48775,61081,312.8,1.8,3.57,264.2
2005-07-01,266950,157497,-16.61,60465,63099,313.4,1.3,3.62,268
2005-10-01,274780,161753,-23.64,60163,64140,316.3,1.7,4.1,270.6
2006-01-01,275729,167892,-22.13,65037,67528,316.7,1.5,4.29,282.8
2006-04-01,295772,171570,-17.79,71932,68853,325.9,2.1,4.22,286.4
2006-07-01,305108,173228,-24.61,73299,71558,335.8,1.9,4.28,295.4
2006-10-01,319485,177175,-27.84,90642,72873,352.3,1.5,4.73,300.4
2007-01-01,318794,180626,-23.55,54452,74781,356.3,1,4.78,311.5
2007-04-01,341074,189967,-17.9,66885,77898,369,1.6,4.72,314.6
2007-07-01,348252,196912,-0.72,70501,78332,370.9,1.4,4.91,319.8
2007-10-01,355932,202231,-18.56,53120,81490,376.9,1.1,5.44,324.6
2008-01-01,354240,208521,-17.71,57698,85760,377.9,1.5,4.65,330.9
2008-04-01,382016,207834,-30.29,56353,88904,403.1,1.4,4.4,340.5
2008-07-01,383966,208476,-31.42,63216,92144,427.9,2.1,4.1,348.8
2008-10-01,431212,196665,-14.95,61000,96070,447.7,2.7,4.05,353.3
2009-01-01,377215,199776,-20.94,20965,97308,489.6,6.3,4.76,355.7
2009-04-01,400435,202158,-0.49,34560,98515,490.7,6.4,4.31,355.4
2009-07-01,398874,207879,-16.99,32582,99009,477.9,4.8,4.24,358
2009-10-01,416813,208429,-6.53,49256,100093,495.3,5.1,3.88,360.1
2010-01-01,400149,211103,-2.36,31831,98717,501.1,6.1,3.78,366.9
2010-04-01,409647,203329,-9.77,35202,99549,506.7,6,3.59,369.5
2010-07-01,395588,206706,-5.66,32559,99972,511.7,5.6,3.26,379.5
2010-10-01,414909,210026,-12.63,38483,101144,516.1,6.1,3.34,381.8
2011-01-01,406127,212452,-9.61,35857,102340,505.1,6.3,3.11,383.2
2011-04-01,420172,217318,-3.35,41999,104166,513.7,6.2,3.04,385.6
2011-07-01,428893,223681,-3.45,41548,106822,550.7,5.2,3.12,409.1
2011-10-01,446394,227337,-8.68,55822,107097,557.8,4.7,2.53,415.7
2012-01-01,434600,232881,-9.66,52237,107371,562.6,5.3,2.17,418.2
2012-04-01,435696,237397,-9.26,54436,108467,568.4,4.8,2.38,431.4
2012-07-01,454984,237169,0.19,41172,109265,578.1,4.4,2.25,433.5
2012-10-01,453219,242230,-2.37,45778,111201,577.1,3.6,2.31,436.8
2013-01-01,466034,244307,4,44749,113193,580.2,4.9,2.36,439.2
2013-04-01,464283,244591,1.64,53900,114504,594.7,4.8,2.63,456.4
2013-07-01,474184,248983,4.6,44715,115007,595,3.7,2.43,457.5
2013-10-01,486742,251799,4.58,49331,116517,594.8,3.9,2.79,463.1
2014-01-01,466908,255900,-1.14,53700,118435,596.3,4.7,3.16,468.5
2014-04-01,489720,259890,,48425,120726,601.2,4.5,3.17,478.4
2014-07-01,518315,264464,,65262,122434,604.7,3.4,3.3,484.7
2014-10-01,530998,267696,,58514,123256,603.6,3.5,3.18,493.8
2015-01-01,538627,268298,,70396,126898,605.7,3.3,2.81,498.1
2015-04-01,558464,272549,,73066,128068,616.5,3.6,2.79,503.2
2015-07-01,554824,277829,,71596,131955,620.4,3.3,2.45,523
2015-10-01,562172,283694,,83591,135715,640.6,2.4,2.58,532.9
2016-01-01,566230,289912,,90250,136258,642.4,2.6,2.72,545
2016-04-01,594148,295966,,97715,138904,643.2,2.6,2.84,570.4
2016-07-01,617759,297677,,89255,140785,661.1,2.4,2.85,581.9
2016-10-01,643822,303544,,90410,143221,657.3,2.1,2.7,588.3
